sRNA	mRNA	sRNARFTarget_Score	Class
gcvb	pm_rs06190	0.45545	0
gcvb	purt	0.45539	0
gcvb	pm_rs02170	0.45537	0
gcvb	pm_rs06600	0.45532	0
gcvb	pm_rs04430	0.45519	0
gcvb	pm_rs02945	0.45516	0
gcvb	folp	0.45507	0
gcvb	pm_rs09295	0.45505	0
gcvb	pm_rs01760	0.45503	0
gcvb	pm_rs06715	0.45503	0
gcvb	pm_rs00495	0.455	0
gcvb	pm_rs00425	0.45489	0
gcvb	pm_rs03815	0.45488	1
gcvb	pm_rs03430	0.45484	0
gcvb	pm_rs09760	0.45484	0
gcvb	pm_rs00370	0.45482	0
gcvb	pm_rs05300	0.45482	0
gcvb	pm_rs02630	0.45475	0
gcvb	mnma	0.45473	0
gcvb	pm_rs08875	0.45471	0
gcvb	pm_rs06245	0.4547	1
gcvb	pm_rs00870	0.45459	0
gcvb	pm_rs02830	0.45453	0
gcvb	pm_rs02615	0.45448	0
gcvb	pm_rs08060	0.45448	0
gcvb	pm_rs05830	0.45447	0
gcvb	pm_rs00330	0.45432	0
gcvb	pm_rs06840	0.45431	0
gcvb	pm_rs01735	0.45429	0
gcvb	pm_rs09435	0.45429	0
gcvb	pm_rs03175	0.45425	0
gcvb	rpma	0.45419	0
gcvb	pm_rs07125	0.45412	0
gcvb	pm_rs04630	0.45405	0
gcvb	pm_rs07950	0.45399	0
gcvb	pm_rs09340	0.45397	0
gcvb	pm_rs01220	0.45394	0
gcvb	pm_rs09680	0.45394	0
gcvb	pm_rs04705	0.45393	0
gcvb	pm_rs01635	0.45381	0
gcvb	pm_rs07920	0.4538	0
gcvb	pm_rs08785	0.4537	0
gcvb	pm_rs01900	0.45369	0
gcvb	pm_rs04295	0.45369	0
gcvb	pm_rs09785	0.45361	0
gcvb	pm_rs05420	0.45354	0
gcvb	pm_rs01960	0.45353	0
gcvb	pm_rs03835	0.45352	0
gcvb	pm_rs09395	0.45349	0
gcvb	pm_rs07905	0.45342	0
gcvb	pm_rs09665	0.45342	0
gcvb	liga	0.45341	0
gcvb	pm_rs02020	0.4534	0
gcvb	pm_rs08660	0.45335	0
gcvb	pm_rs06900	0.45329	0
gcvb	pm_rs04755	0.45323	0
gcvb	pm_rs05425	0.45321	0
gcvb	pm_rs02225	0.45316	0
gcvb	pm_rs08445	0.45309	0
gcvb	pm_rs03185	0.45289	0
gcvb	pm_rs06335	0.45278	0
gcvb	pm_rs00355	0.45266	0
gcvb	pm_rs08345	0.45258	0
gcvb	pm_rs08750	0.45254	0
gcvb	pm_rs03640	0.45246	0
gcvb	pm_rs06045	0.45239	0
gcvb	pm_rs10290	0.4523	0
gcvb	recr	0.45229	0
gcvb	pm_rs00110	0.45227	0
gcvb	fecd	0.45226	0
gcvb	pm_rs10040	0.45226	0
gcvb	pm_rs00455	0.45225	0
gcvb	pm_rs05595	0.45224	0
gcvb	pm_rs04620	0.45215	0
gcvb	pm_rs02245	0.45209	0
gcvb	pm_rs07895	0.45209	0
gcvb	pm_rs05695	0.45203	0
gcvb	pm_rs03285	0.452	0
gcvb	pm_rs02445	0.45185	0
gcvb	pm_rs10335	0.45183	0
gcvb	pm_rs06710	0.45174	0
gcvb	murc	0.45173	0
gcvb	pm_rs05165	0.45173	0
gcvb	pm_rs06425	0.4517	0
gcvb	pm_rs03560	0.45169	0
gcvb	pm_rs09940	0.45168	0
gcvb	pm_rs04750	0.45165	0
gcvb	pm_rs06540	0.45164	0
gcvb	gmha	0.4516	0
gcvb	pm_rs03300	0.4516	0
gcvb	pm_rs06695	0.45153	0
gcvb	pm_rs02905	0.45152	0
gcvb	pm_rs01420	0.45151	0
gcvb	pm_rs04815	0.45151	0
gcvb	pm_rs08600	0.45151	0
gcvb	uvrd	0.45148	0
gcvb	pm_rs07120	0.4514	0
gcvb	pm_rs00035	0.45138	0
gcvb	pm_rs01285	0.45138	0
gcvb	pm_rs07190	0.45138	0
gcvb	pm_rs02760	0.45135	0
gcvb	rplj	0.45128	0
gcvb	pm_rs03180	0.45119	0
gcvb	pm_rs04560	0.45114	0
gcvb	pm_rs03830	0.45108	0
gcvb	rlml	0.45105	0
gcvb	pm_rs07195	0.45102	0
gcvb	pm_rs05305	0.45096	0
gcvb	purn	0.45096	0
gcvb	pm_rs03320	0.45091	0
gcvb	rbfa	0.45086	0
gcvb	pm_rs10165	0.45083	0
gcvb	pm_rs02670	0.45077	0
gcvb	pm_rs08630	0.45072	0
gcvb	pm_rs06920	0.45069	0
gcvb	pm_rs02455	0.4506	0
gcvb	pm_rs09600	0.45051	0
gcvb	pm_rs04695	0.4505	0
gcvb	pm_rs09985	0.45046	0
gcvb	nudb	0.45043	0
gcvb	pm_rs04520	0.45043	0
gcvb	pm_rs00585	0.45038	0
gcvb	pm_rs06895	0.45038	0
gcvb	dapd	0.4503	0
gcvb	pm_rs07305	0.45027	0
gcvb	hemh	0.45021	0
gcvb	pm_rs04985	0.45019	0
gcvb	pm_rs04830	0.45009	0
gcvb	pm_rs09055	0.45004	0
gcvb	pm_rs04095	0.44982	0
gcvb	pm_rs07360	0.44981	0
gcvb	pm_rs08465	0.4498	0
gcvb	trka	0.44977	0
gcvb	pm_rs00925	0.44974	0
gcvb	pm_rs07430	0.44965	0
gcvb	murf	0.4496	0
gcvb	pm_rs02485	0.44951	0
gcvb	pm_rs04315	0.44946	1
gcvb	leud	0.44939	0
gcvb	pm_rs03215	0.44934	1
gcvb	pm_rs05335	0.4493	0
gcvb	pm_rs09150	0.44929	0
gcvb	pm_rs08330	0.44927	0
gcvb	pm_rs05980	0.44925	0
gcvb	pm1932	0.44925	0
gcvb	pm_rs05045	0.44923	0
gcvb	pm_rs05705	0.44921	0
gcvb	pm_rs03510	0.4492	0
gcvb	glnd	0.44919	0
gcvb	pm_rs02845	0.44918	0
gcvb	pm_rs09805	0.44912	0
gcvb	pm_rs02770	0.44911	0
gcvb	pm_rs01395	0.449	0
gcvb	pm_rs06510	0.449	0
gcvb	pm_rs09175	0.44898	0
gcvb	pm_rs02960	0.44885	0
gcvb	tgt	0.44883	0
gcvb	pm_rs00400	0.44878	0
gcvb	pm_rs01055	0.44863	0
gcvb	pm_rs02635	0.44861	0
gcvb	pm_rs04585	0.44861	0
gcvb	pm_rs09690	0.44855	0
gcvb	pm_rs08285	0.44854	0
gcvb	pm_rs04435	0.4485	0
gcvb	pm_rs00310	0.44845	0
gcvb	pm_rs06255	0.44838	0
gcvb	pm_rs08870	0.44838	0
gcvb	pm_rs07535	0.44837	0
gcvb	pm_rs01835	0.44825	0
gcvb	pm_rs04745	0.44823	0
gcvb	pm_rs06185	0.44815	0
gcvb	pm1654	0.44806	0
gcvb	pm_rs05970	0.44804	0
gcvb	pm_rs04930	0.448	0
gcvb	moaa	0.44799	0
gcvb	pm_rs00950	0.44788	0
gcvb	pm_rs06975	0.44787	0
gcvb	pm_rs00345	0.44766	0
gcvb	pm_rs01680	0.44763	0
gcvb	pm_rs10260	0.44763	0
gcvb	pm_rs09305	0.44754	0
gcvb	pm_rs05590	0.44753	0
gcvb	pm_rs05665	0.44738	0
gcvb	pm_rs05920	0.44738	0
gcvb	pm_rs00510	0.44737	0
gcvb	pm_rs03250	0.44727	0
gcvb	pm_rs07755	0.4471	0
gcvb	ihfb	0.44704	0
gcvb	pm_rs01515	0.44698	0
gcvb	pm1295	0.44698	0
gcvb	pm_rs03455	0.44696	0
gcvb	pm_rs08205	0.44678	0
gcvb	pm_rs02000	0.44675	0
gcvb	pm_rs05395	0.44667	0
gcvb	pm_rs01255	0.44653	0
gcvb	pm_rs06290	0.44647	0
gcvb	pm_rs02050	0.44646	0
gcvb	pm_rs09590	0.44609	0
gcvb	pm_rs04600	0.44602	0
gcvb	pm_rs04240	0.4459	0
gcvb	pm_rs02465	0.44589	0
gcvb	gida	0.44563	0
gcvb	pm_rs07545	0.44563	0
gcvb	pm_rs09815	0.44555	0
gcvb	pm_rs03620	0.44553	0
gcvb	pm_rs03020	0.44543	0
gcvb	pm_rs04025	0.44541	0
gcvb	dnaa	0.44535	0
gcvb	pm_rs07310	0.44529	0
gcvb	pm_rs02780	0.44499	0
gcvb	pm_rs03895	0.44498	0
gcvb	pm_rs09225	0.44494	0
gcvb	pm_rs00480	0.44493	0
gcvb	pm_rs00195	0.44483	0
gcvb	pm_rs04885	0.44472	0
gcvb	potc	0.4447	0
gcvb	pm_rs02215	0.44464	0
gcvb	pm_rs02115	0.44455	0
gcvb	pm_rs03540	0.44453	0
gcvb	pm_rs05060	0.44452	0
gcvb	lpxb	0.44441	0
gcvb	pm_rs07515	0.44436	0
gcvb	lyss	0.44435	0
gcvb	dnag	0.44433	0
gcvb	pm_rs04065	0.44432	0
gcvb	fecc	0.44423	0
gcvb	pm_rs07115	0.44413	0
gcvb	pm_rs02375	0.44399	0
gcvb	pm_rs09720	0.44397	0
gcvb	PM_RS00580	0.4439	1
gcvb	pm_rs08195	0.4439	0
gcvb	pm_rs01250	0.44378	0
gcvb	pm_rs05110	0.44378	0
gcvb	rfad	0.44372	0
gcvb	pm_rs10385	0.44362	0
gcvb	pm_rs09475	0.44353	0
gcvb	nhaa	0.44345	0
gcvb	pm_rs00685	0.44345	0
gcvb	xerc	0.4434	0
gcvb	pm_rs03750	0.44334	0
gcvb	pm_rs09810	0.44334	0
gcvb	pm_rs00740	0.44327	0
gcvb	pm_rs06945	0.44324	0
gcvb	pm_rs08730	0.44323	0
gcvb	pm_rs04280	0.44315	0
gcvb	pm_rs00135	0.44313	0
gcvb	pm_rs03555	0.4431	0
gcvb	pm_rs08920	0.44294	0
gcvb	pm_rs05480	0.44272	0
gcvb	pm_rs07010	0.44265	0
gcvb	pm_rs01935	0.44262	0
gcvb	pm_rs04935	0.44249	0
gcvb	pm1842	0.44241	0
gcvb	pm_rs00415	0.44212	0
gcvb	pm_rs03875	0.4421	0
gcvb	pm_rs05265	0.44205	0
gcvb	pm_rs05140	0.442	0
gcvb	pm_rs01765	0.44189	0
gcvb	pm_rs04170	0.44188	0
gcvb	pm_rs00070	0.4415	0
gcvb	pm_rs06495	0.44145	0
gcvb	pm_rs03360	0.44142	0
gcvb	pm_rs05510	0.44142	0
gcvb	pm_rs09530	0.44131	0
gcvb	pm_rs01385	0.44129	0
gcvb	pm_rs09020	0.44129	0
gcvb	pm_rs07940	0.44128	0
gcvb	pm_rs04305	0.44123	0
gcvb	pm_rs08035	0.44121	0
gcvb	pm_rs08315	0.44115	0
gcvb	pm_rs08065	0.44104	0
gcvb	pm_rs00515	0.44097	0
gcvb	pm_rs04660	0.44097	0
gcvb	pm_rs04115	0.4408	0
gcvb	pntb	0.44042	0
gcvb	pm_rs01425	0.44041	0
gcvb	pm_rs07480	0.44008	0
gcvb	ubib	0.43961	0
gcvb	metg	0.43959	0
gcvb	pm_rs04190	0.43959	0
gcvb	pm_rs04835	0.43953	0
gcvb	pm_rs01275	0.43949	0
gcvb	pm_rs01435	0.43918	0
gcvb	pm_rs06760	0.43909	0
gcvb	pm_rs06865	0.43887	0
gcvb	pm_rs04050	0.43851	0
gcvb	pm_rs04255	0.43846	0
gcvb	pm_rs06750	0.43784	0
gcvb	pm_rs04140	0.4378	0
gcvb	pm_rs07375	0.43769	0
gcvb	metf	0.43761	0
gcvb	pm_rs08070	0.43758	0
gcvb	pm_rs03145	0.43757	0
gcvb	pm_rs04565	0.43756	0
gcvb	pm_rs08390	0.43739	0
gcvb	pm_rs05685	0.43713	0
gcvb	pm_rs07715	0.43625	0
gcvb	pm1095	0.43625	0
gcvb	pm_rs07155	0.43621	0
gcvb	pm_rs02650	0.43583	0
gcvb	ubia	0.43526	0
gcvb	pm_rs00145	0.43524	0
gcvb	pm_rs03005	0.43515	0
gcvb	fabg	0.43507	0
gcvb	pm_rs07395	0.43451	0
gcvb	argd	0.43446	0
gcvb	pm_rs00240	0.43442	0
gcvb	pm_rs05135	0.43433	0
gcvb	fief	0.4342	0
gcvb	rpmb	0.43408	0
gcvb	pm_rs00140	0.43399	0
gcvb	pm_rs09375	0.43369	0
gcvb	pm_rs00810	0.43359	0
gcvb	pm_rs10220	0.43355	0
gcvb	pm_rs09265	0.43354	0
gcvb	pm_rs08375	0.43334	0
gcvb	pm_rs01190	0.43318	0
gcvb	pm_rs01820	0.43318	0
gcvb	pm_rs09120	0.43298	0
gcvb	pm_rs05370	0.43221	0
gcvb	pm_rs05380	0.43195	0
gcvb	tsf	0.43153	0
gcvb	pm_rs08155	0.43135	0
gcvb	pm_rs07945	0.43128	0
gcvb	pm_rs07525	0.43123	0
gcvb	dapf	0.43082	0
gcvb	rnhb	0.43075	0
gcvb	sspa	0.43061	0
gcvb	pm_rs01970	0.4306	0
gcvb	pm_rs03290	0.43015	0
gcvb	pm_rs03240	0.42983	0
gcvb	ruvc	0.42981	0
gcvb	pm_rs08540	0.42965	0
gcvb	glpt	0.42964	0
gcvb	pm_rs07960	0.42958	0
gcvb	pm_rs04525	0.42956	0
gcvb	rbsc	0.42954	0
gcvb	pm_rs00190	0.42939	0
gcvb	pm_rs00175	0.42922	0
gcvb	pm1141	0.4292	0
gcvb	pm_rs03845	0.42894	0
gcvb	pm_rs00025	0.42881	0
gcvb	pm_rs05355	0.42843	0
gcvb	pm_rs09945	0.42831	0
gcvb	pm_rs00590	0.42829	0
gcvb	pm_rs00065	0.42822	0
gcvb	pm_rs06280	0.42797	0
gcvb	oppb	0.42782	1
gcvb	pm_rs05175	0.42751	1
gcvb	pm_rs06225	0.42737	0
gcvb	pm_rs02275	0.42674	0
gcvb	pm_rs06655	0.42634	0
gcvb	pm_rs09575	0.42626	0
gcvb	pm_rs06475	0.4261	0
gcvb	pm_rs06820	0.42542	0
gcvb	pm_rs06930	0.42535	0
gcvb	pm_rs06015	0.42233	0
gcvb	pm_rs02955	0.42167	0
gcvb	pm_rs07235	0.42103	0
gcvb	pm_rs05720	0.42065	0
gcvb	pm_rs09080	0.42033	0
gcvb	pm_rs10105	0.41876	0
gcvb	pm_rs08130	0.41719	0
gcvb	pm_rs02220	0.4142	0
gcvb	pm_rs08565	0.41406	0
gcvb	rrmj	0.41394	0
gcvb	pm_rs00845	0.4108	0
gcvb	pm_rs07160	0.40648	0
gcvb	pm_rs02700	0.40622	0
